RACE,MONTH,PERCENT
BLACK,2020-01-02,6.1
HISPANIC,2020-01-02,4.3
US,2020-01-02,3.5
ASIAN,2020-01-02,3.1
WHITE,2020-01-02,3
BLACK,2020-02-02,6
HISPANIC,2020-02-02,4.4
US,2020-02-02,3.5
ASIAN,2020-02-02,2.4
WHITE,2020-02-02,3
BLACK,2020-03-02,6.8
HISPANIC,2020-03-02,6.4
US,2020-03-02,4.4
ASIAN,2020-03-02,4.1
WHITE,2020-03-02,3.9
BLACK,2020-04-02,16.7
HISPANIC,2020-04-02,18.9
US,2020-04-02,14.8
ASIAN,2020-04-02,14.5
WHITE,2020-04-02,14.1
BLACK,2020-05-02,16.7
HISPANIC,2020-05-02,17.6
US,2020-05-02,13.3
ASIAN,2020-05-02,14.9
WHITE,2020-05-02,12.3
BLACK,2020-06-02,15.3
HISPANIC,2020-06-02,14.5
US,2020-06-02,11.1
ASIAN,2020-06-02,13.9
WHITE,2020-06-02,10.1
BLACK,2020-07-02,14.4
HISPANIC,2020-07-02,12.7
US,2020-07-02,10.2
ASIAN,2020-07-02,11.9
WHITE,2020-07-02,9.2
BLACK,2020-08-02,12.8
HISPANIC,2020-08-02,10.5
US,2020-08-02,8.4
ASIAN,2020-08-02,10.6
WHITE,2020-08-02,7.4
BLACK,2020-09-02,12
HISPANIC,2020-09-02,10.3
US,2020-09-02,7.8
ASIAN,2020-09-02,8.8
WHITE,2020-09-02,7
BLACK,2020-10-02,10.8
HISPANIC,2020-10-02,8.8
US,2020-10-02,6.9
ASIAN,2020-10-02,7.6
WHITE,2020-10-02,6
BLACK,2020-11-02,10.3
HISPANIC,2020-11-02,8.4
US,2020-11-02,6.7
ASIAN,2020-11-02,6.7
WHITE,2020-11-02,6.9
BLACK,2020-12-02,9.9
HISPANIC,2020-12-02,9.3
US,2020-12-02,6.7
ASIAN,2020-12-02,5.9
WHITE,2020-12-02,6
BLACK,2021-01-02,9.2
HISPANIC,2021-01-02,8.6
US,2021-01-02,6.3
ASIAN,2021-01-02,6.6
WHITE,2021-01-02,5.7
BLACK,2021-02-02,9.9
HISPANIC,2021-02-02,8.5
US,2021-02-02,6.2
ASIAN,2021-02-02,5.1
WHITE,2021-02-02,5.6
BLACK,2021-03-02,9.6
HISPANIC,2021-03-02,7.9
US,2021-03-02,6
ASIAN,2021-03-02,6
WHITE,2021-03-02,5.4
BLACK,2021-04-02,9.7
HISPANIC,2021-04-02,7.9
US,2021-04-02,6.1
ASIAN,2021-04-02,5.7
WHITE,2021-04-02,5.3